cid,price_class
3421079032,1
40000362,1
8658300340,1
3028200080,1
3883800011,1
1623049041,1
7999600180,1
1523049188,1
2422049104,1
1322049150,1
1788900230,1
9320900420,1
1721801591,1
1049010620,1
4239400300,1
1423049019,1
2114700500,1
2734100835,1
795000765,1
6929602721,1
7335400215,1
2724200705,1
6198400218,1
1788800630,1
5128000010,1
3751600030,1
8856000545,1
1900000195,1
7813200115,1
7224000980,1
6146600170,1
123039604,1
723049326,1
4311700120,1
1788800610,1
2023049218,1
7211402105,1
7899800045,1
7899800450,1
7129800036,1
9200000050,1
4337000160,1
5381000048,1
3361401011,1
8018600880,1
2853600155,1
5111400086,1
1278000210,1
3806000005,1
2123049114,1
8698100170,1
2648500030,1
7889600230,1
892000025,1
3356403820,1
795000620,1
8151600101,1
104500730,1
7889601320,1
4031000520,1
623049232,1
1545807810,1
1446403850,1
3821200050,1
3352402250,1
2621600015,1
3122069029,1
7893203565,1
7972000010,1
8151600470,1
7454000145,1
1446401460,1
4438000165,1
1917300025,1
1446403617,1
1950900245,1
795000620,1
3598600049,1
3353402400,1
6600410170,1
6303401150,1
859000110,1
3501100050,1
7140800100,1
1450100390,1
1352300990,1
723049530,1
8651411260,1
1898700050,1
421049114,1
7116000350,1
87000213,1
6146600175,1
2722059292,1
4337600205,1
6450302546,1
1238500451,1
7973202712,1
9272202260,1
2500600289,1
2354300456,1
41000454,1
13001215,1
4014400237,1
6303401050,1
8651402750,1
1697000400,1
7129304540,1
9320901250,1
5061300030,1
3361402041,1
985001015,1
2522069064,1
2586800140,1
3298701025,1
7335400345,1
5560000650,1
1951600250,1
723049158,1
3361400980,1
179001101,1
3352400661,1
8945100320,1
7972604345,1
7140600225,1
2323059074,1
9368700270,1
7227500910,1
3512100050,1
3751600025,1
5466310060,1
9543000205,1
7875200005,1
7888000390,1
7468900270,1
7399100210,1
4006000401,1
7686203275,1
1922059010,1
1951500030,1
3340401535,1
7614100080,1
7227500865,1
3980300371,1
4330600360,1
1735800050,1
4239400960,1
6197200021,1
1432400345,1
7686205020,1
745000005,1
6099400053,1
2870000040,1
1922059278,1
1432400490,1
9320900610,1
111000190,1
3977630130,1
3347400525,1
3306200230,1
422049178,1
1823049182,1
1865800250,1
7138000170,1
8802400416,1
2114700615,1
123039336,1
1682000350,1
2891000610,1
4239400920,1
723049156,1
9536601996,1
3530530110,1
1723049567,1
7116000425,1
4031000250,1
2788400020,1
1843200350,1
2976800749,1
5126900310,1
523049195,1
7888000400,1
5126900100,1
